,miR-10-5p,miR-135ab-5p,miR-218-5p,miR-190-5p,miR-193-3p,miR-33-5p,miR-182-5p,miR-362-5p,miR-23-3p,miR-18-5p,miR-18-3p/7069-3p,miR-194-2-3p/6926-5p/7055-5p,miR-130-3p/301-3p,miR-103-3p/107-3p,miR-205-5p,miR-183-3p,miR-7-5p,miR-423-3p,miR-501-5p,miR-185-5p,miR-423-5p,miR-26-5p,miR-147-3p,miR-484,miR-378-3p,miR-22-3p,miR-652-3p,miR-374b-5p,miR-210-3p,miR-194-5p,miR-192-5p/215-5p,miR-196-5p,miR-324-3p,miR-27-3p,miR-141-3p,miR-1198-5p,miR-19-3p,miR-183-5p,let-7-5p/miR-98-5p,miR-200-3p/429-3p,miR-3081-3p,miR-125ab-5p/351-5p,miR-28-3p,miR-181-5p,miR-151-3p,miR-24-3p,miR-96-5p,miR-186-5p,miR-425-5p/489-3p,miR-17-5p/20-5p/93-5p/106-5p,miR-21ac-5p,miR-15-5p/16-5p/195-5p/322-5p/497-5p,miR-25-3p/32-5p/92-3p/363-3p/367-3p,miR-141-5p/6769b-3p,miR-16-1-3p,miR-200ab-5p,miR-191-5p,miR-221-3p/222-3p,miR-139-5p,miR-140-5p,miR-139-3p,miR-30-5p/384-5p,miR-340-5p,miR-181a-1-3p/181c-3p,miR-34-5p/449-5p,miR-106-3p,miR-671-5p,miR-30a-3p/30d-3p/30e-3p,miR-29-3p,miR-345-5p,miR-328-3p,miR-361-5p,let-7d-3p,miR-375-3p,miR-148-3p/152-3p,miR-153-3p,miR-146ab-5p,miR-31-5p,miR-132-3p/212-3p,miR-99-5p/100-5p,miR-28-5p/708-5p
122,,,,,,,BABAM1,,NCSTN,,,,N4BP1,NELFA,,,,,,,,PIGS,,RABAC1,,MARVELD2,,,,PPP1R12B,,CAPN1,,INO80D,DPY19L1,,BAK1,,ASAP1,GNAI3,,,,RNF38,,N4BP1,RAD9B,,,SLC44A1,,HSPA8,SETD3,,,,,,,,,NRBP1,,,,,,,ERP29,,,,,,KMT2C,,,,,,
123,,,,,,,CMIP,,RANBP2,,,,CNOT1,UBA6,,,,,,,,SLFN5,,TSKU,,SQLE,,,,RGS2,,IDE,,ZWINT,OGT,,MEMO1,,AGO2,MFSD14A,,,,TARDBP,,HSDL1,VPS33A,,,RSRP1,,ADAM10,ELOVL7,,,,,,,,,TSC22D4,,,,,,,GTF2IRD1,,,,,,CDKN1B,,,,,,
124,,,,,,,ST14,,PPM1H,,,,LDLR,SCARB2,,,,,,,,MAP2K4,,CPNE2,,MYLK,,,,RABGAP1L,,NRARP,,TMCC3,PERP,,EPC1,,PLEC,SH3GLB1,,,,ELN,,CASP4,WBSCR22,,,ABCA1,,DOPEY1,PLXNB2,,,,,,,,,FRYL,,,,,,,ELN,,,,,,LRP6,,,,,,
125,,,,,,,KMT2A,,FAM222B,,,,HERC1,HNRNPDL,,,,,,,,BPTF,,ADGRG1,,SIDT1,,,,ATP1B1,,NUP214,,SERINC1,PTPRK,,CDC23,,GXYLT1,CCNC,,,,CD177,,EXPH5,KLHDC10,,,MYSM1,,TOPBP1,LPP,,,,,,,,,CNOT6L,,,,,,,SNX8,,,,,,ALDOA,,,,,,
126,,,,,,,PPP2R3A,,IGFBP4,,,,IP6K2,ERP29,,,,,,,,GGA3,,CTCF,,SRRM2,,,,PPP2R5A,,GSN,,DDIT4,OSTM1,,PGGT1B,,KMT2D,TDRD7,,,,BUD13,,PKM,TAX1BP1,,,ZFYVE9,,CDC25A,IGSF5,,,,,,,,,LIN54,,,,,,,USP42,,,,,,TAOK2,,,,,,
127,,,,,,,FHL1,,RNF213,,,,NBEAL2,CAPZA2,,,,,,,,ARF6,,ITGB1,,HELZ2,,,,RANBP2,,ITGA6,,AFF4,SLC25A16,,ATL3,,FIGNL2,ERI3,,,,ATRX,,MYO5C,SLC35B4,,,LDLRAP1,,RPL14,ZNF597,,,,,,,,,RNF6,,,,,,,ARF5,,,,,,COLGALT1,,,,,,
128,,,,,,,,,DNMT3A,,,,TGFBR2,AVL9,,,,,,,,DYNC1H1,,CDC25A,,TP53INP1,,,,BSG,,TYRO3,,RNF213,BSG,,ZFP91,,CBX5,UBR4,,,,MYL6B,,SHISA5,MYADM,,,RCAN3,,IL10RA,ABCG1,,,,,,,,,COPG2,,,,,,,GNG12,,,,,,SC5D,,,,,,
129,,,,,,,,,HIF1A,,,,FMR1,ATOH1,,,,,,,,KLF6,,SMARCC1,,PSMB2,,,,TNFAIP3,,SNRNP200,,PNPO,EEA1,,RANBP6,,HMOX2,EPHA2,,,,,,CMTM6,AMPD3,,,VPS13D,,ALAS1,GATA6,,,,,,,,,TET3,,,,,,,GFPT1,,,,,,SIDT2,,,,,,
130,,,,,,,,,EAPP,,,,WNK3,CLEC2D,,,,,,,,LARP4B,,SORL1,,COPG1,,,,R3HDM4,,ENTPD6,,RHBDF2,GNA11,,SHTN1,,MAP3K13,NSMAF,,,,,,FAM120C,SPTY2D1,,,MFN2,,SLC6A14,SLC12A2,,,,,,,,,TNRC6A,,,,,,,EMP1,,,,,,,,,,,,
131,,,,,,,,,TMEM30B,,,,ARPC2,TNPO3,,,,,,,,TMEM14C,,TRAPPC4,,PLXNA1,,,,CCT2,,TP53INP2,,PCNX,PSME3,,CERS6,,LPP,IKBKAP,,,,,,G6PD,CTTN,,,UBE3C,,MSN,GNA14,,,,,,,,,ZRANB1,,,,,,,KCMF1,,,,,,,,,,,,
132,,,,,,,,,ZFYVE1,,,,DSTYK,MAT2A,,,,,,,,PDE4D,,DDX3X,,RET,,,,OGDH,,CTSA,,HMGCR,ACOX1,,ZEB2,,SNX4,TMEM245,,,,,,CSPP1,SH2D4A,,,CD38,,ATP7A,RIC1,,,,,,,,,CAPN5,,,,,,,TET3,,,,,,,,,,,,
133,,,,,,,,,GRK6,,,,PEA15,REG3G,,,,,,,,MRS2,,FHL1,,ECH1,,,,RAI1,,FASTKD1,,ATXN7,CCDC71L,,PCNA,,FSTL1,JUN,,,,,,TTLL4,TSNAX,,,RASL11B,,KDM5C,RBM4,,,,,,,,,PSD3,,,,,,,LRIG1,,,,,,,,,,,,
134,,,,,,,,,ARRDC3,,,,AGPAT3,HK2,,,,,,,,ERCC6,,ZFX,,ABHD2,,,,SSH2,,NCKAP1,,ABHD4,FOXN3,,GPCPD1,,LRRC58,CMPK1,,,,,,RNPEPL1,IST1,,,MOB1B,,CUL4B,RPS6KA4,,,,,,,,,GCSH,,,,,,,FOXP1,,,,,,,,,,,,
135,,,,,,,,,ROR2,,,,ASCC2,IPO8,,,,,,,,MBNL2,,TTLL4,,FUS,,,,HEATR6,,TTC17,,ST13,KLF6,,ZNF217,,NEPRO,PDIK1L,,,,,,TNFRSF11A,IMPDH2,,,ANXA3,,ABCB7,PSMD14,,,,,,,,,DDX6,,,,,,,PLEKHG6,,,,,,,,,,,,
136,,,,,,,,,WDFY2,,,,CARD14,ZDHHC13,,,,,,,,SLMAP,,B3GNT7,,GAPDHS,,,,HNF1B,,FBN1,,ARF3,SREK1IP1,,SPG20,,BACH1,PLA2G5,,,,,,IVNS1ABP,ST14,,,IDUA,,HS6ST1,BUB1B,,,,,,,,,CYB5R4,,,,,,,GUCY2C,,,,,,,,,,,,
137,,,,,,,,,KLF5,,,,P3H4,AKAP13,,,,,,,,BMPR1A,,BTG2,,GNAI2,,,,ZNF652,,ABHD12,,DYRK1A,KTN1,,MEF2D,,HUNK,STEAP4,,,,,,DCAF8,ARHGEF12,,,P2RX4,,EIF5B,SNRNP200,,,,,,,,,MYZAP,,,,,,,SUV420H2,,,,,,,,,,,,
138,,,,,,,,,TBC1D4,,,,ROCK2,ANKS4B,,,,,,,,TSPAN14,,CD164,,MT-ND5,,,,LIMK2,,TRPC4AP,,DGCR8,RICTOR,,GON4L,,IGSF5,GSAP,,,,,,IGSF9,PPP2R3A,,,ATP6V0A2,,MAP4K4,XRN2,,,,,,,,,EMD,,,,,,,ADAMTS17,,,,,,,,,,,,
139,,,,,,,,,TBC1D22A,,,,FAM120A,UQCRC2,,,,,,,,TEP1,,MYBBP1A,,APOOL,,,,TAOK1,,CCT3,,DTX3L,MYH9,,SEC22B,,LITAF,NRBP1,,,,,,LAMB3,APOOL,,,GIGYF1,,STRADB,ST8SIA6,,,,,,,,,DKC1,,,,,,,PGAP2,,,,,,,,,,,,
140,,,,,,,,,SLC38A2,,,,EIF4B,AQP8,,,,,,,,CHMP7,,SLC16A5,,CUL4B,,,,ACLY,,ARHGEF2,,CRB3,CD2AP,,PCDH18,,DGCR2,N4BP2,,,,,,CNPPD1,,,,TADA2B,,VIL1,ZDHHC5,,,,,,,,,PLS3,,,,,,,PTPRH,,,,,,,,,,,,
141,,,,,,,,,IFNGR2,,,,POU6F1,RABAC1,,,,,,,,ATG101,,DOCK4,,MSL3,,,,GPATCH8,,NRAS,,MAN2A1,KDM2A,,ZCCHC7,,DGCR8,GIGYF1,,,,,,ELF3,,,,APBB2,,NUCKS1,UBR1,,,,,,,,,PPP1R15B,,,,,,,CALM3,,,,,,,,,,,,
142,,,,,,,,,GLYR1,,,,B3GALT5,ZNF473,,,,,,,,TNFRSF11B,,EIF2B2,,HIST1H2BE,,,,CSNK1D,,TPD52,,SLC12A2,RANBP6,,UGCG,,LIPH,FRY,,,,,,PEA15,,,,ULK1,,NUAK2,MFSD14A,,,,,,,,,TOR1AIP2,,,,,,,HIF3A,,,,,,,,,,,,
143,,,,,,,,,MCFD2,,,,NDUFV2,SAA1,,,,,,,,FAM83H,,SERINC5,,,,,,DNMT3A,,CDH17,,LCOR,CERS6,,SMIM12,,IGF2BP2,HADHA,,,,,,IFNGR1,,,,MAPKAPK5,,PLEKHA6,LURAP1L,,,,,,,,,LAMB3,,,,,,,ABHD13,,,,,,,,,,,,
144,,,,,,,,,MAN1B1,,,,CREB3L1,B3GNT3,,,,,,,,BRD1,,GOLM1,,,,,,PUM2,,MDN1,,TMEM127,TMEM127,,SIGMAR1,,ATP13A3,HS3ST1,,,,,,BSG,,,,CUX1,,AIM2,SSBP3,,,,,,,,,HDLBP,,,,,,,ERLIN2,,,,,,,,,,,,
145,,,,,,,,,PSMD14,,,,SLC10A5,CNOT1,,,,,,,,ADCY6,,GSDMD,,,,,,SYNE2,,SLC31A1,,SDCBP2,POLR3K,,ABCA1,,PHLDB2,FRYL,,,,,,AIM1,,,,SNX8,,IDH1,YARS,,,,,,,,,PRKAR1A,,,,,,,PURG,,,,,,,,,,,,
146,,,,,,,,,PIGT,,,,RIPK2,ADAM10,,,,,,,,IFNGR2,,FBXO32,,,,,,PLEKHG3,,TMEM59,,FPGS,CAMSAP1,,ZFYVE9,,TMPRSS2,PLAC8,,,,,,ABHD17A,,,,PTCD1,,TMEM183A,TOX,,,,,,,,,HIF1A,,,,,,,COL4A1,,,,,,,,,,,,
147,,,,,,,,,SPPL2A,,,,TLN1,DOPEY1,,,,,,,,PDXDC1,,DYRK1A,,,,,,HBP1,,NRD1,,CTNND1,GBP7,,PARK7,,MLLT4,TMEM120A,,,,,,NCLN,,,,AAK1,,MTHFD1L,ZNF644,,,,,,,,,KLF6,,,,,,,IFI30,,,,,,,,,,,,
148,,,,,,,,,FABP2,,,,RNF38,PLSCR1,,,,,,,,FAM162A,,TAPBP,,,,,,HEATR5A,,PLA2G2A,,MYNN,RPRD2,,FOSL2,,CHD1,YWHAG,,,,,,ERBB3,,,,ETNK1,,CD164,TMEM120A,,,,,,,,,NUP155,,,,,,,ARHGAP32,,,,,,,,,,,,
149,,,,,,,,,SETDB1,,,,NECAP2,IL10RA,,,,,,,,ATP6V0E1,,HLA-DRB5,,,,,,FOXA1,,EPHA2,,SPG20,SRM,,EREG,,ABCA3,CASP2,,,,,,RTN4,,,,PON2,,PSAP,SETD5,,,,,,,,,SLC38A1,,,,,,,IREB2,,,,,,,,,,,,
150,,,,,,,,,PDE4DIP,,,,HTT,IBTK,,,,,,,,XPO5,,PPP4R1,,,,,,SPTLC2,,ERRFI1,,PSMB4,BTBD19,,CCNG2,,TMEM8A,GARS,,,,,,PRPF8,,,,TRPV6,,SAR1A,NDUFA5,,,,,,,,,HLA-DRB5,,,,,,,SMARCC1,,,,,,,,,,,,
151,,,,,,,,,TET2,,,,REG3G,ALAS1,,,,,,,,BIRC6,,GFER,,,,,,NSD1,,ESRP1,,COA7,PDIK1L,,NAA25,,DDX39B,NR2C2,,,,,,MBTD1,,,,KCMF1,,BSG,CREB3L2,,,,,,,,,DHX57,,,,,,,ZNF778,,,,,,,,,,,,
152,,,,,,,,,HP1BP3,,,,ETHE1,OGT,,,,,,,,FEZ2,,MALAT1,,,,,,ROR2,,RIPK2,,KLF4,KLF3,,ARPC1A,,FNDC1,LRMP,,,,,,SCRN2,,,,ERC1,,TMCC3,KRAS,,,,,,,,,MAP4K3,,,,,,,STT3A,,,,,,,,,,,,
153,,,,,,,,,ENO1,,,,SIRT3,ATP7A,,,,,,,,RNF138,,STIP1,,,,,,FCHO2,,SIGMAR1,,SZRD1,DR1,,SOWAHB,,IGF2R,OSBPL3,,,,,,CDK12,,,,CEACAM20,,MYO1A,COA4,,,,,,,,,SRFBP1,,,,,,,SLC37A2,,,,,,,,,,,,
154,,,,,,,,,ANAPC7,,,,CDH13,HUWE1,,,,,,,,MATR3,,SGK2,,,,,,ERBB2IP,,PTPN3,,EFHD2,BLOC1S4,,FBRSL1,,CCNF,KCMF1,,,,,,ACBD4,,,,ABHD2,,STAT2,WDR11,,,,,,,,,KIF5B,,,,,,,CD276,,,,,,,,,,,,
155,,,,,,,,,FRYL,,,,DDX6,RAP2C,,,,,,,,RPRD1A,,PPM1L,,,,,,NGLY1,,DMAP1,,TNFRSF1B,HNRNPDL,,MLEC,,CD2AP,FOXP1,,,,,,SLC16A5,,,,EIF3F,,GUCD1,POP4,,,,,,,,,MALAT1,,,,,,,FEM1B,,,,,,,,,,,,
156,,,,,,,,,ANKRD17,,,,,ABCB7,,,,,,,,ETF1,,TPD52,,,,,,LMO7,,MACF1,,MOB1B,RAD9B,,EIF4H,,TAF8,WNK1,,,,,,SUPT6H,,,,FAR1,,SYDE1,MFGE8,,,,,,,,,ANXA1,,,,,,,TPM1,,,,,,,,,,,,
157,,,,,,,,,CHCHD3,,,,,SLC40A1,,,,,,,,HARS,,MAGI3,,,,,,FAM3D,,EPHB2,,FRYL,TAX1BP1,,TIA1,,KHSRP,MGP,,,,,,ITGA3,,,,ARHGAP35,,METTL7B,ITGB1,,,,,,,,,SLC20A1,,,,,,,USP9X,,,,,,,,,,,,
158,,,,,,,,,TET3,,,,,MRPL44,,,,,,,,SLC26A2,,FOSL2,,,,,,KCNMA1,,UBE4B,,FAM69A,MAT2A,,CREBL2,,STRN,ZC3H4,,,,,,MED1,,,,TMEM135,,MORC2,MTMR7,,,,,,,,,SNX5,,,,,,,FMR1,,,,,,,,,,,,
159,,,,,,,,,ATP6V1E1,,,,,VCPIP1,,,,,,,,ME2,,ATP6V0A2,,,,,,NUPL1,,PSMC2,,MET,FBXL19,,GPRC5A,,MAP4K3,CYFIP1,,,,,,RAB5C,,,,TAOK2,,AP1B1,ASAH1,,,,,,,,,ARL14,,,,,,,BCOR,,,,,,,,,,,,
160,,,,,,,,,NAV2,,,,,IDH1,,,,,,,,HAUS1,,TGFA,,,,,,INTS6,,EREG,,ALDH1L1,MUC2,,SLC35B4,,SLC8A1,ABHD2,,,,,,NT5C,,,,OSBPL5,,SKP1,NFIX,,,,,,,,,MOV10,,,,,,,CNNM4,,,,,,,,,,,,
161,,,,,,,,,TRPM4,,,,,PERP,,,,,,,,AHNAK,,BHLHE40,,,,,,FNDC3A,,MTF2,,DERA,PSD3,,OSBPL3,,CXXC5,TNRC6A,,,,,,CANT1,,,,SH3RF1,,SH3BP5L,GLG1,,,,,,,,,PKN2,,,,,,,UNC50,,,,,,,,,,,,
162,,,,,,,,,MKRN3,,,,,NUS1,,,,,,,,PPP6R3,,MAT2A,,,,,,COG3,,OASL,,MXD1,TOX3,,TET3,,SMAD7,DMBT1,,,,,,FASN,,,,ZNF827,,FAM83G,ICK,,,,,,,,,CHD7,,,,,,,NCK2,,,,,,,,,,,,
163,,,,,,,,,CMIP,,,,,TMPO,,,,,,,,TM9SF3,,CCND2,,,,,,DIS3,,KDELR2,,AKAP13,CIAPIN1,,SFXN5,,PROC,CHD2,,,,,,CSNK1D,,,,GAN,,FXR2,SETD2,,,,,,,,,CDH17,,,,,,,PPP1R15B,,,,,,,,,,,,
164,,,,,,,,,CFDP1,,,,,MDM2,,,,,,,,NEK6,,MAPK3,,,,,,RICTOR,,TRRAP,,WEE1,CFAP20,,LRIG1,,HDAC3,DENND5A,,,,,,SUSD6,,,,RAB11FIP1,,CLDN7,USP9X,,,,,,,,,SMU1,,,,,,,PLEKHA6,,,,,,,,,,,,
165,,,,,,,,,IREB2,,,,,RTN4,,,,,,,,PDK1,,AARS,,,,,,SREBF2,,GTF3C2,,CD177,CTNNB1,,WNK1,,PCYOX1L,ATE1,,,,,,DLST,,,,SNX25,,MINK1,CLDN2,,,,,,,,,N4BP2,,,,,,,RNASEL,,,,,,,,,,,,
166,,,,,,,,,ADAM10,,,,,HINT1,,,,,,,,SSFA2,,ZC3H18,,,,,,ACVR1B,,SH3TC1,,ARRDC4,FMR1,,LRP6,,ADRB2,AGPAT5,,,,,,EIF2B2,,,,CC2D1A,,CLUH,NUCKS1,,,,,,,,,DMTF1,,,,,,,FAM168B,,,,,,,,,,,,
167,,,,,,,,,YIPF6,,,,,ANKFY1,,,,,,,,STK35,,HSDL1,,,,,,OSMR,,SEL1L3,,ARL6IP1,MGST2,,NUP62,,PTPN2,CNEP1R1,,,,,,SPTLC2,,,,ATXN1L,,TSR1,SATB2,,,,,,,,,G3BP2,,,,,,,KLF7,,,,,,,,,,,,
168,,,,,,,,,LAMP2,,,,,NUFIP2,,,,,,,,STRBP,,UBE4A,,,,,,MARCH6,,ULK1,,CDHR5,,,FUS,,AP5B1,CMTR2,,,,,,FOXN3,,,,IRF2BP2,,SDF2,HMGA2,,,,,,,,,CAPZA2,,,,,,,FZD5,,,,,,,,,,,,
169,,,,,,,,,PRKX,,,,,GGA3,,,,,,,,BAZ2B,,MT-ND1,,,,,,PTK2,,CORO1C,,ASAH1,,,ARHGAP35,,SYVN1,FOXF1,,,,,,DEGS2,,,,SEMA7A,,TMEM98,AFF4,,,,,,,,,CHD9,,,,,,,BTG2,,,,,,,,,,,,
170,,,,,,,,,UBXN4,,,,,FASN,,,,,,,,ALKBH3,,TCF7L2,,,,,,PLEC,,GUSB,,SMIM7,,,FOSB,,PATL1,MED26,,,,,,HIST1H2BK,,,,LYSMD2,,THRA,GGA3,,,,,,,,,MPZL3,,,,,,,ATP1B1,,,,,,,,,,,,
171,,,,,,,,,TMEM131,,,,,DNMT3A,,,,,,,,EHF,,TXNDC12,,,,,,DDX17,,INTS1,,SH3BGRL2,,,MYH14,,GNA14,AMFR,,,,,,HIST1H2BJ,,,,CDC25A,,AXIN2,ITSN2,,,,,,,,,KDM5C,,,,,,,FH,,,,,,,,,,,,
172,,,,,,,,,TUBA4A,,,,,ITPK1,,,,,,,,ADNP,,,,,,,,TWF1,,ACTB,,PLS1,,,TMEM135,,ZFAND5,FHOD1,,,,,,TGFBI,,,,RASA2,,LLGL2,LPAR6,,,,,,,,,,,,,,,,ADSS,,,,,,,,,,,,
173,,,,,,,,,COL6A3,,,,,SERINC5,,,,,,,,MFN1,,,,,,,,ZNF148,,MET,,MAOA,,,DHX32,,TMEM2,ICE2,,,,,,HIST1H2BH,,,,DNAJC13,,TBCD,RBFOX2,,,,,,,,,,,,,,,,VASH2,,,,,,,,,,,,
174,,,,,,,,,PERP,,,,,SMIM15,,,,,,,,NAA15,,,,,,,,ZBTB20,,EXOC4,,VBP1,,,H19,,PLCE1,ICK,,,,,,ROR2,,,,TGFBR2,,METRNL,DUSP1,,,,,,,,,,,,,,,,SMPDL3A,,,,,,,,,,,,
175,,,,,,,,,RNF41,,,,,GOLM1,,,,,,,,GLMP,,,,,,,,TTC3,,CHN2,,NRP2,,,CDH1,,CCNJ,RP9,,,,,,MAP3K1,,,,KIF4A,,IGFBP3,DSG2,,,,,,,,,,,,,,,,DOT1L,,,,,,,,,,,,
176,,,,,,,,,DYRK2,,,,,SEC24C,,,,,,,,FUBP1,,,,,,,,PAK2,,MTMR14,,B3GNT7,,,HERC1,,HIF1AN,DPY19L1,,,,,,ITGA2,,,,WNK3,,MAT2B,SLC35G1,,,,,,,,,,,,,,,,DAPK3,,,,,,,,,,,,
177,,,,,,,,,PIP4K2B,,,,,BCL2L2,,,,,,,,ARMC1,,,,,,,,BRWD1,,TNPO3,,TFCP2L1,,,IP6K2,,VTI1A,TLN2,,,,,,KHNYN,,,,LAMP2,,MAPK7,DUSP5,,,,,,,,,,,,,,,,MCU,,,,,,,,,,,,
178,,,,,,,,,GGA3,,,,,TM9SF1,,,,,,,,SETDB1,,,,,,,,SCAF8,,EZH2,,MGAT5,,,TGFBR2,,FAM160B1,CCNB2,,,,,,DLG5,,,,IMP4,,MPDU1,ZNF770,,,,,,,,,,,,,,,,CDK1,,,,,,,,,,,,
179,,,,,,,,,PRPSAP1,,,,,MYC,,,,,,,,ATP1A1,,,,,,,,AIRN,,MXD1,,NUCKS1,,,CDK16,,RBM14,COL12A1,,,,,,ZNF219,,,,ELK4,,ITGA3,PROSER1,,,,,,,,,,,,,,,,MYL6,,,,,,,,,,,,
180,,,,,,,,,PNPLA8,,,,,TNRC6B,,,,,,,,CDH17,,,,,,,,ACAT2,,PLXNA1,,B4GALT3,,,HPRT1,,DPP3,TBC1D2B,,,,,,MYC,,,,PPP1R15B,,KRT20,TMEFF1,,,,,,,,,,,,,,,,METTL7B,,,,,,,,,,,,
181,,,,,,,,,FUT8,,,,,ACVR1B,,,,,,,,ZCCHC11,,,,,,,,RPS18,,SERTAD1,,SLC40A1,,,EIF4E2,,PCNXL3,RASA2,,,,,,PTP4A3,,,,DEDD,,ATXN7L3,THRAP3,,,,,,,,,,,,,,,,AP1B1,,,,,,,,,,,,
182,,,,,,,,,RIOK1,,,,,UBR5,,,,,,,,SRSF10,,,,,,,,PIK3C3,,PGAP2,,TMBIM1,,,ZBTB37,,NEAT1,MT-ND5,,,,,,TBC1D22A,,,,MGAT4A,,ARHGDIA,HOXA9,,,,,,,,,,,,,,,,EGFR,,,,,,,,,,,,
183,,,,,,,,,DSP,,,,,ASAP1,,,,,,,,RCC2,,,,,,,,SAP130,,CEACAM1,,EPHA4,,,NVL,,STX3,SLC35A2,,,,,,ACVR1B,,,,UXS1,,NOTUM,KBTBD2,,,,,,,,,,,,,,,,PUS10,,,,,,,,,,,,
184,,,,,,,,,NET1,,,,,PLEC,,,,,,,,CCNL2,,,,,,,,PMAIP1,,KCNK6,,PRDX6,,,GNA11,,SLC16A12,HPRT1,,,,,,UBR5,,,,SLC40A1,,DCXR,MUC2,,,,,,,,,,,,,,,,ADAM19,,,,,,,,,,,,
185,,,,,,,,,NCAPH2,,,,,SMIM22,,,,,,,,CPT2,,,,,,,,ZNF516,,SPTY2D1,,PERP,,,RASSF3,,PDLIM1,FHL1,,,,,,PTK2,,,,NABP1,,PUM2,CD177,,,,,,,,,,,,,,,,LYPD8,,,,,,,,,,,,
186,,,,,,,,,TOMM70A,,,,,MRPS6,,,,,,,,GSAP,,,,,,,,HBEGF,,ARL6IP1,,MIDN,,,SLC36A1,,DNMBP,MSN,,,,,,PLEC,,,,USP37,,PDIA6,ZFP36,,,,,,,,,,,,,,,,PER1,,,,,,,,,,,,
187,,,,,,,,,CGGBP1,,,,,GSPT1,,,,,,,,CPEB2,,,,,,,,GNA14,,PPP4C,,PLEKHJ1,,,SPECC1,,C10orf76,UPRT,,,,,,ARF3,,,,SMG7,,SNX13,LRRK1,,,,,,,,,,,,,,,,ARRB2,,,,,,,,,,,,
188,,,,,,,,,PKDCC,,,,,NRIP1,,,,,,,,LRRC8D,,,,,,,,BTAF1,,H19,,COL1A1,,,VMP1,,ABL1,HUWE1,,,,,,SMAGP,,,,HBS1L,,RAB10,EIF4G2,,,,,,,,,,,,,,,,ATP2A3,,,,,,,,,,,,
189,,,,,,,,,NFYA,,,,,ATP5O,,,,,,,,PPP1CC,,,,,,,,TRIM8,,CCND1,,CDK12,,,ITGA3,,NUP214,MAP4K4,,,,,,SCAF4,,,,NR2C1,,ZFYVE1,RPL13,,,,,,,,,,,,,,,,BLMH,,,,,,,,,,,,
190,,,,,,,,,GATA6,,,,,TMPRSS2,,,,,,,,PROM1,,,,,,,,VPS13A,,KBTBD11,,LIMK2,,,DYNC1H1,,CNTRL,SPATS2L,,,,,,MAPK13,,,,RNF41,,CCDC85C,,,,,,,,,,,,,,,,,RNF43,,,,,,,,,,,,
191,,,,,,,,,GALNT1,,,,,PPP4R1,,,,,,,,UNC119B,,,,,,,,PIP5K1B,,SH3RF1,,CLTC,,,MIER3,,MARCH7,EEF1B2,,,,,,PDPK1,,,,AKAP7,,WARS,,,,,,,,,,,,,,,,,COX11,,,,,,,,,,,,
192,,,,,,,,,HNRNPUL2,,,,,XDH,,,,,,,,BAIAP2L1,,,,,,,,FAM204A,,HMGXB4,,KAT7,,,RNF44,,CERS6,PIKFYVE,,,,,,WIZ,,,,SERINC1,,JAG2,,,,,,,,,,,,,,,,,RNF213,,,,,,,,,,,,
193,,,,,,,,,STIP1,,,,,GATA6,,,,,,,,C1GALT1,,,,,,,,NUP160,,NR3C2,,KPNB1,,,DAD1,,RTF1,CAB39,,,,,,CYP4F12,,,,UNC5B,,HOMER1,,,,,,,,,,,,,,,,,SLC16A3,,,,,,,,,,,,
194,,,,,,,,,RTN3,,,,,FAM53C,,,,,,,,GOLT1B,,,,,,,,ARHGAP1,,NDUFB7,,ACLY,,,TRIOBP,,TYRO3,CLASP1,,,,,,HLA-A,,,,REEP3,,PFKP,,,,,,,,,,,,,,,,,HUS1,,,,,,,,,,,,
195,,,,,,,,,COMMD3,,,,,STARD4,,,,,,,,SLC35B4,,,,,,,,TRAF6,,NLRC5,,FASN,,,SELO,,RALY,NUCKS1,,,,,,AMMECR1L,,,,MKNK2,,SDHA,,,,,,,,,,,,,,,,,SPTBN1,,,,,,,,,,,,
196,,,,,,,,,DNAJC5,,,,,CDC37L1,,,,,,,,CNOT4,,,,,,,,LGR4,,ADGRG1,,LAPTM4A,,,RNF39,,TP53INP2,DESI2,,,,,,AHNAK,,,,NCLN,,PPIF,,,,,,,,,,,,,,,,,KDM6B,,,,,,,,,,,,
197,,,,,,,,,RRBP1,,,,,TCF7L2,,,,,,,,MXD1,,,,,,,,SPRED1,,MTMR7,,RIN3,,,UBR2,,CTSA,PLA2G4A,,,,,,LCOR,,,,HMGA2,,ANXA11,,,,,,,,,,,,,,,,,EIF5A,,,,,,,,,,,,
198,,,,,,,,,PLAGL2,,,,,PDLIM1,,,,,,,,CEBPA,,,,,,,,YWHAB,,SNX25,,CEP170B,,,SNAP23,,RBM38,DHX9,,,,,,LZTS2,,,,TBC1D30,,SHISA2,,,,,,,,,,,,,,,,,TRAF4,,,,,,,,,,,,
199,,,,,,,,,RAPGEF2,,,,,DYNC1I2,,,,,,,,ANKRD27,,,,,,,,NCOA3,,EPS15L1,,RSAD2,,,SEMA6D,,RSU1,ANK3,,,,,,SLK,,,,PIP4K2C,,CLU,,,,,,,,,,,,,,,,,MED13,,,,,,,,,,,,
200,,,,,,,,,TMEM56,,,,,TMEM127,,,,,,,,UBE3A,,,,,,,,ARHGAP21,,DCAF15,,JARID2,,,USP8,,NR6A1,ANKRD52,,,,,,EHBP1L1,,,,NIPSNAP1,,APPL1,,,,,,,,,,,,,,,,,CLTC,,,,,,,,,,,,
